Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 2,114
IIT-Library,sub_class,PdfViewer,actionPerformed,Complex Conditional,The conditional expression pagenumber >= 0 && pagenumber < totalpage && viewtypecounter == 1 is complex.,130
IIT-Library,sub_class,PdfViewer,actionPerformed,Complex Conditional,The conditional expression pagenumber >= 0 && pagenumber < totalpage - 2 && viewtypecounter == 2 is complex.,130
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 50,130
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 2,130
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 2,130
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 2,130
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 50,130
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 2,130
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 50,130
IIT-Library,sub_class,PdfViewer,actionPerformed,Complex Conditional,The conditional expression pagenumber > 0 && pagenumber < totalpage && viewtypecounter == 1 is complex.,152
IIT-Library,sub_class,PdfViewer,actionPerformed,Complex Conditional,The conditional expression pagenumber > 2 && pagenumber2 < totalpage - 1 && viewtypecounter == 2 is complex.,152
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 50,152
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 2,152
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 2,152
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 2,152
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 50,152
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 2,152
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 50,152
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 10,174
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 50,174
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 50,174
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 20,174
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 100,174
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 10,192
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 50,192
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 50,192
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 20,192
IIT-Library,sub_class,PdfViewer,actionPerformed,Magic Number,The method contains a magic number: 100,192
IIT-Library,sub_class,PdfViewer,button,Magic Number,The method contains a magic number: 2,210
IIT-Library,sub_class,PdfViewer,one_page_view,Magic Number,The method contains a magic number: 50,223
IIT-Library,sub_class,PdfViewer,one_page_view,Magic Number,The method contains a magic number: 20,223
IIT-Library,sub_class,PdfViewer,one_page_view,Magic Number,The method contains a magic number: 100,223
IIT-Library,sub_class,PdfViewer,one_page_view,Magic Number,The method contains a magic number: 20,223
IIT-Library,sub_class,PdfViewer,one_page_view,Magic Number,The method contains a magic number: 100,223
IIT-Library,sub_class,PdfViewer,two_page_view,Magic Number,The method contains a magic number: 50,240
IIT-Library,sub_class,PdfViewer,two_page_view,Magic Number,The method contains a magic number: 50,240
IIT-Library,sub_class,PdfViewer,two_page_view,Magic Number,The method contains a magic number: 2,240
IIT-Library,sub_class,PdfViewer,two_page_view,Magic Number,The method contains a magic number: 50,240
IIT-Library,sub_class,PdfViewer,two_page_view,Magic Number,The method contains a magic number: 2,240
IIT-Library,sub_class,PdfViewer,two_page_view,Magic Number,The method contains a magic number: 50,240
IIT-Library,sub_class,PdfViewer,makeFrameFullSize,Magic Number,The method contains a magic number: 300,274
IIT-Library,sub_class,PdfViewer,makeFrameFullSize,Magic Number,The method contains a magic number: 100,274
IIT-Library,sub_class,PdfViewer,openpdf,Magic Number,The method contains a magic number: 300,281
IIT-Library,sub_class,PdfViewer,openpdf2,Long Parameter List,The method has 7 parameters. ,301
IIT-Library,sub_class,PdfViewer,openpdf2,Magic Number,The method contains a magic number: 300,301
IIT-Library,sub_class,PdfViewer,openpdf2,Magic Number,The method contains a magic number: 300,301
IIT-Library,sub_class,PdfViewer,openpdf2,Magic Number,The method contains a magic number: 2,301
IIT-Library,sub_class,Pdf_books,setMainPanel,Magic Number,The method contains a magic number: 20,42
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 300,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 50,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 300,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 50,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 300,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 50,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 2,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 300,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 50,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 300,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 50,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 3,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 400,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 50,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 400,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 50,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 400,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 50,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 400,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 50,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 400,51
IIT-Library,sub_class,Pdf_books,setButton,Magic Number,The method contains a magic number: 50,51
IIT-Library,sub_class,Pdf_books,buttonaction,Complex Method,Cyclomatic complexity of the method is 31,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Method,The method has 242 lines of code.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "int option_result=JOptionPane.showOptionDialog(null`"what would like to do?"`""`0`JOptionPane.INFORMATION_MESSAGE`null`options`null);" is 133.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "View.go("view.pdf"`"https://1ba04568-93c7-428d-bafc-b6a5efb6c80c.filesusr.com/ugd/18e846_e9a0f814efa149b58c30db425fc1b822.pdf");" is 128.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "download(bookname`"https://1ba04568-93c7-428d-bafc-b6a5efb6c80c.filesusr.com/ugd/18e846_e9a0f814efa149b58c30db425fc1b822.pdf");" is 127.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "int option_result=JOptionPane.showOptionDialog(null`"what would like to do?"`""`0`JOptionPane.INFORMATION_MESSAGE`null`options`null);" is 133.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "View.go("view.pdf"`"https://1ba04568-93c7-428d-bafc-b6a5efb6c80c.filesusr.com/ugd/18e846_93798fc7343d44909a8e5c4f2ecf2357.pdf");" is 128.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "download(bookname`"https://1ba04568-93c7-428d-bafc-b6a5efb6c80c.filesusr.com/ugd/18e846_93798fc7343d44909a8e5c4f2ecf2357.pdf");" is 127.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "int option_result=JOptionPane.showOptionDialog(null`"what would like to do?"`""`0`JOptionPane.INFORMATION_MESSAGE`null`options`null);" is 133.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "View.go("view.pdf"`"https://1ba04568-93c7-428d-bafc-b6a5efb6c80c.filesusr.com/ugd/18e846_7101712b85fa4486a56d80d9241961a4.pdf");" is 128.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "download(bookname`"https://1ba04568-93c7-428d-bafc-b6a5efb6c80c.filesusr.com/ugd/18e846_7101712b85fa4486a56d80d9241961a4.pdf");" is 127.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "int option_result=JOptionPane.showOptionDialog(null`"what would like to do?"`""`0`JOptionPane.INFORMATION_MESSAGE`null`options`null);" is 133.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "View.go("view.pdf"`"https://1ba04568-93c7-428d-bafc-b6a5efb6c80c.filesusr.com/ugd/18e846_ca34df6d699146c9af64c5e591dd1043.pdf");" is 128.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "download(bookname`"https://1ba04568-93c7-428d-bafc-b6a5efb6c80c.filesusr.com/ugd/18e846_ca34df6d699146c9af64c5e591dd1043.pdf");" is 127.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "int option_result=JOptionPane.showOptionDialog(null`"what would like to do?"`""`0`JOptionPane.INFORMATION_MESSAGE`null`options`null);" is 133.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "View.go("view.pdf"`"https://1ba04568-93c7-428d-bafc-b6a5efb6c80c.filesusr.com/ugd/18e846_35ff52e3a4ae43858b8a439c4877dfa7.pdf");" is 128.,103
IIT-Library,sub_class,Pdf_books,buttonaction,Long Statement,The length of the statement "download(bookname`"https://1ba04568-93c7-428d-bafc-b6a5efb6c80c.filesusr.com/ugd/18e846_35ff52e3a4ae43858b8a439c4877dfa7.pdf");" is 127.,103
